"Decision","AllowedDecisions","Name","FullPath","ProposedAction","TargetZone","ProposedTargetPath","RiskLevel","Reason","HumanNotes"
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AGENTS.md","C:\Users\mylab\OneDrive\AI-OS-Project\AGENTS.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_EOD_PROMPT.md","C:\Users\mylab\OneDrive\AI-OS-Project\control\EOD prompt\AI-OS_EOD_PROMPT.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","README[5.2.26].md","C:\Users\mylab\OneDrive\AI-OS-Project\control\MarkDown\README[5.2.26].md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AAR_AI_OS_Consolidation_2026-05-02.md","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\AAR_AI_OS_Consolidation_2026-05-02.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_EOD_PROGRESS_LOG.csv.xlsx","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\AI-OS_EOD_PROGRESS_LOG.csv.xlsx","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_EOD_PROGRESS_LOG.xlsx","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\AI-OS_EOD_PROGRESS_LOG.xlsx","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_Progress_Apr28_2026.csv","C:\Users\mylab\OneDrive\AI-OS-Project\daily-progress\daily progress\AlgoTradez_Progress_Apr28_2026.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","ai_OS_structure.csv","C:\Users\mylab\OneDrive\AI-OS-Project\docs\ai_OS_structure.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_MASTER_GUIDELINES.md","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_MASTER_GUIDELINES.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_PROJECT_PARAMETERS.csv","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI-OS_PROJECT_PARAMETERS.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AlgoTradez_AI-OS_Roadmap.csv","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AlgoTradez_AI-OS_Roadmap.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","SITREP_AI_OS_Consolidation_2026-05-02.md","C:\Users\mylab\OneDrive\AI-OS-Project\docs\SITREP_AI_OS_Consolidation_2026-05-02.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","White_Paper.md","C:\Users\mylab\OneDrive\AI-OS-Project\docs\White_Paper.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","DASHBOARD_FIXES.md","C:\Users\mylab\OneDrive\AI-OS-Project\fixes_changes\DASHBOARD_FIXES.md","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","May 3, 2026 0545.txt","C:\Users\mylab\OneDrive\AI-OS-Project\fixes_changes\May 3, 2026 0545.txt","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
"HOLD","HOLD | APPROVE_MOVE | APPROVE_MERGE | APPROVE_RENAME | APPROVE_ARCHIVE | APPROVE_DELETE_AFTER_BACKUP | BLOCK","AI-OS_PROJECT_TASKS.csv","C:\Users\mylab\OneDrive\AI-OS-Project\Tasks\AI-OS_PROJECT_TASKS.csv","REVIEW_FOR_CANONICAL_DOCS","ACTIVE_PROJECT_ROOT","","MEDIUM","Active project file, but may need consolidation into source-of-truth docs.",""
