"Category","Name","Path","Exists","FileCount","FolderCount","Status","Notes"
"REQUIRED_FOLDER","08_ARCHIVE","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\08_ARCHIVE","True","0","1","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","09_REPORTS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS","True","28","1","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","10_AAR","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\10_AAR","True","0","0","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","11_DAILY_REPORTS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\11_DAILY_REPORTS","True","0","0","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","12_ERROR_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\12_ERROR_LOG","True","0","0","OK","Required AI_OS scaffold folder."
"REQUIRED_FOLDER","13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\13_HALLUCINATION_LOG","True","0","0","OK","Required AI_OS scaffold folder."
"MIGRATION_PAIR","architecture -> 04_SCAFFOLD_BLUEPRINT","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\architecture","True","0","0","SOURCE_EMPTY_OK","Destination: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\04_SCAFFOLD_BLUEPRINT | Destination files: 5 | Destination folders: 0 | Expected source state: empty or duplicate-hold only"
"MIGRATION_PAIR","DAILY_CONTEXT_PACK -> 03_CONTEXT_PACK","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\DAILY_CONTEXT_PACK","True","0","0","SOURCE_EMPTY_OK","Destination: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\03_CONTEXT_PACK | Destination files: 5 | Destination folders: 3 | Expected source state: empty"
"MIGRATION_PAIR","inventory -> 04_INVENTORY","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\inventory","True","3","0","LEFTOVER_DUPLICATE_REVIEW_NEEDED","Destination: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\04_INVENTORY | Destination files: 4 | Destination folders: 1 | Expected source state: duplicate-same-hash leftovers allowed"
"MIGRATION_PAIR","permissions -> 06_APPROVALS","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\permissions","True","0","0","SOURCE_EMPTY_OK","Destination: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\06_APPROVALS | Destination files: 5 | Destination folders: 4 | Expected source state: empty or no files"
"MIGRATION_PAIR","policies -> 02_RULES","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies","True","0","0","SOURCE_EMPTY_OK","Destination: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\02_RULES | Destination files: 6 | Destination folders: 0 | Expected source state: empty"
"MIGRATION_PAIR","prompts -> 03_CONTEXT_PACK","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\prompts","True","0","0","SOURCE_EMPTY_OK","Destination: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\03_CONTEXT_PACK | Destination files: 5 | Destination folders: 3 | Expected source state: empty"
"EVIDENCE","Latest inventory collision review CSV","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\04_INVENTORY\_MIGRATION_REVIEWS\AIOS_inventory_collision_review_2026-05-04_19-45-40.csv","True","","","FOUND","Evidence for inventory duplicate/collision review."
"EVIDENCE","Latest inventory no-collision move report","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\04_INVENTORY\_MIGRATION_REVIEWS\AIOS_inventory_no_collision_move_report_2026-05-04_19-46-52.md","True","","","FOUND","Evidence for the safe no-collision inventory move."
