"Term","FileName","LineNumber","LineText","FullPath"
"UCI","02_SAFE_KEEP_NO_ACTION.csv","4","""HOLD"",""HOLD | KEEP | APPROVE_AS_GITHUB_REPO | APPROVE_AS_ARCHIVE | APPROVE_DUPLICATE_REVIEW | BLOCK_NO_TOUCH | NEEDS_MORE_EVIDENCE"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies"",""3"",""ACTIVE_AI_OS_CONTROL_TREE"",""KEEP_NO_ACTION"",""Inside controlled docs\AI_OS tree."",""KEEP_ACTIVE_DOCS"",""LOW"",""AI_OS_DOCS"",""CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt | DATA_INTEGRITY_AND_CORRUPTION_PREVENTION_RULES.txt | HALLUCINATION_PREVENTION_RULES.txt"",""""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\06_APPROVALS\STAGE16_PHASE2_FOLDER_DECISION_PACKET_2026-05-04_17-06-43\02_SAFE_KEEP_NO_ACTION.csv"
"UCI","01_FULL_FOLDER_AUTHORITY_MAP.csv","45","""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies"",""3"",""ACTIVE_AI_OS_CONTROL_TREE"",""KEEP_NO_ACTION"",""Inside controlled docs\AI_OS tree."",""KEEP_ACTIVE_DOCS"",""LOW"",""AI_OS_DOCS"",""CHECKPOINT_AND_STAGE_COMPLETION_RULES.txt | DATA_INTEGRITY_AND_CORRUPTION_PREVENTION_RULES.txt | HALLUCINATION_PREVENTION_RULES.txt"",""PENDING_REVIEW"",""""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\07_MOVE_PLANS\STAGE14_FULL_FOLDER_AUTHORITY_REBUILD_2026-05-04_17-01-52\01_FULL_FOLDER_AUTHORITY_MAP.csv"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.csv","17","""REQUIRED_FOLDER"",""13_HALLUCINATION_LOG"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\13_HALLUCINATION_LOG"",""True"",""0"",""0"",""OK"",""Required AI_OS scaffold folder.""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.csv"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.md","149","### REQUIRED_FOLDER - 13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.md"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.md","154","- Path: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-57-55.md"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.csv","17","""REQUIRED_FOLDER"",""13_HALLUCINATION_LOG"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\13_HALLUCINATION_LOG"",""True"",""0"",""0"",""OK"",""Required AI_OS scaffold folder.""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.csv"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.md","149","### REQUIRED_FOLDER - 13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.md"
"UCI","AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.md","154","- Path: C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\13_HALLUCINATION_LOG","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\09_REPORTS\_MIGRATION_FINAL_VERIFY\AIOS_controlled_migration_final_verify_2026-05-04_19-59-21.md"
"UCI","AIOS_inventory_2026-05-04_16-21-31.csv","42","""HALLUCINATION_PREVENTION_RULES.txt"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt"",""C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies"","".txt"",""0.64"",""5/3/2026 5:37:28 PM"",""5/3/2026 5:55:10 PM"",""AI_OS; AI-OS"",""REVIEW_ONLY"",""NO_MOVE_NO_DELETE_NO_EDIT""","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\inventory\AIOS_inventory_2026-05-04_16-21-31.csv"
"UCI","AIOS_inventory_classification_plan_2026-05-04_16-21-31.csv","42","HALLUCINATION_PREVENTION_RULES.txt,C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt,C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies,.txt,0.64,5/3/2026 5:37:28 PM,5/3/2026 5:55:10 PM,AI_OS; AI-OS,REVIEW_ONLY,NO_MOVE_NO_DELETE_NO_EDIT,KEEP_ACTIVE_DOCS,AI_OS_DOCS,LOW,,Active AI_OS documentation tree.,NO_ACTION_NOW","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\inventory\AIOS_inventory_classification_plan_2026-05-04_16-21-31.csv"
"UCI","AI_OS_FOLDER_NOTE_AUTOMATION_SPEC.txt","73","5. Never edit README.md, AGENTS.md, RISK_POLICY.md, SOURCE_LOG.md, ERROR_LOG.md, HALLUCINATION_LOG.md, AAR.md, DAILY_REPORT.md, or White_Paper.md without backup.","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\system_wizards\AI_OS_FOLDER_NOTE_AUTOMATION_SPEC.txt"
"UCI","AI_OS_LOCAL_INVENTORY_2026-05-04.txt","155","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt","C:\Users\mylab\OneDrive\AI-OS-Project\Reports\daily\AI_OS_LOCAL_INVENTORY_2026-05-04.txt"
"UCI","AI_OS_REPO_ALIGNMENT_PLAN_2026-05-04.txt","31","C:\Users\mylab\OneDrive\AI-OS-Project\docs\AI_OS\policies\HALLUCINATION_PREVENTION_RULES.txt","C:\Users\mylab\OneDrive\AI-OS-Project\Reports\daily\AI_OS_REPO_ALIGNMENT_PLAN_2026-05-04.txt"
"UCI","README_DAILY_REPORTS_FOLDER.txt","13","- Hallucination or assumption checks","C:\Users\mylab\OneDrive\AI-OS-Project\Reports\daily\README_DAILY_REPORTS_FOLDER.txt"
"UCI","AI-OS_PROJECT_TASKS.csv","23","Set up schema validation in Trading Bot,1.5,MEDIUM,Not Started,5/9/2026,#22,Tony,""Reject invalid signals, log hallucination attempts""","C:\Users\mylab\OneDrive\AI-OS-Project\Tasks\AI-OS_PROJECT_TASKS.csv"
