"ItemPath","Exists","ItemType","FileCount","TotalSizeMB","NewestFile","NewestWriteTime","OldestWriteTime","SourceStage","ProposedAction","HumanDecision","ExecutionStatus","Reason"
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Yubikey","YES","FOLDER","3","0.02","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\Yubikey\Yubikey Documents.adoc","5/2/2026 5:27:17 PM","4/5/2026 11:52:18 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets","YES","FOLDER","3","0.06","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\src\assets\vite.svg","3/25/2026 5:01:25 PM","3/25/2026 5:01:25 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\Postmortem","YES","FOLDER","2","0.09","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\Postmortem\AlgoTradez_IncidentReport_2026-05-01.csv","5/1/2026 5:54:09 PM","5/1/2026 4:19:01 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control","YES","FOLDER","4","0.02","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\EOD prompt\AI-OS_EOD_PROMPT.md","5/2/2026 7:39:44 PM","5/2/2026 3:53:12 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf","YES","FOLDER","2","0.01","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\pdf\whitepaper.pdf","3/24/2026 4:40:20 PM","3/24/2026 4:32:01 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs","YES","FOLDER","2","0","C:\Users\mylab\OneDrive\Desktop\Ai_Os\inputs\README.md","3/25/2026 4:36:14 PM","3/25/2026 4:35:46 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os","YES","FOLDER","4539","167.62","C:\Users\mylab\OneDrive\Desktop\Ai_Os\deploy.zip","5/2/2026 2:56:24 PM","3/24/2026 4:23:39 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public","YES","FOLDER","2","0.01","C:\Users\mylab\OneDrive\Desktop\Ai_Os\apps\dashboard\public\icons.svg","3/25/2026 5:01:25 PM","3/25/2026 5:01:25 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\AAR","YES","FOLDER","1","0","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\AAR\AAR_AI_OS_Consolidation_2026-05-02.md","5/2/2026 8:56:58 AM","5/2/2026 8:56:58 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\SITREP","YES","FOLDER","1","0.01","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backtest results\Reports\may 2026\SITREP\SITREP_AI_OS_Consolidation_2026-05-02.md","5/2/2026 8:57:33 AM","5/2/2026 8:57:33 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backups","YES","FOLDER","1","0.01","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\backups\TradingEngineV1.zip","5/2/2026 7:43:16 AM","5/2/2026 7:43:16 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\daily-progress\AAR","YES","FOLDER","1","0","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\daily-progress\AAR\AAR_AI_OS_Consolidation_2026-05-02.md","5/2/2026 8:56:58 AM","5/2/2026 8:56:58 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\MarkDown","YES","FOLDER","1","0.01","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\MarkDown\README[5.2.26].md","5/2/2026 3:53:12 PM","5/2/2026 3:53:12 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\EOD prompt","YES","FOLDER","1","0","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\control\EOD prompt\AI-OS_EOD_PROMPT.md","5/2/2026 7:39:44 PM","5/2/2026 7:39:44 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\txt","YES","FOLDER","1","0","C:\Users\mylab\OneDrive\Desktop\Ai_Os\internal\source-artifacts\txt\folderUse.txt","3/24/2026 4:23:39 PM","3/24/2026 4:23:39 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime","YES","FOLDER","1","0","C:\Users\mylab\OneDrive\Desktop\Ai_Os\agent\runtime\README.md","3/25/2026 4:45:59 PM","3/25/2026 4:45:59 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\automation\pipeline","YES","FOLDER","1","0","C:\Users\mylab\OneDrive\Desktop\Ai_Os\automation\pipeline\README.md","3/25/2026 4:45:59 PM","3/25/2026 4:45:59 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\Ai_Os\.azure","YES","FOLDER","1","0","C:\Users\mylab\OneDrive\Desktop\Ai_Os\.azure\config","4/28/2026 2:11:39 PM","4/28/2026 2:11:39 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\templates","YES","FOLDER","1","0.01","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\templates\dashboard.html","4/27/2026 12:39:53 PM","4/27/2026 12:39:53 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\FIxesChanges","YES","FOLDER","1","0.02","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\FIxesChanges\DASHBOARD_FIXES.md","5/2/2026 8:10:15 AM","5/2/2026 8:10:15 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs\SITREP","YES","FOLDER","1","0.01","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\docs\SITREP\SITREP_AI_OS_Consolidation_2026-05-02.md","5/2/2026 8:57:33 AM","5/2/2026 8:57:33 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts","YES","FOLDER","2","0.01","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts\Deployable PS1\deploy_readme.ps1","5/2/2026 10:33:31 AM","5/2/2026 9:35:41 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.azure","YES","FOLDER","1","0","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\TradingEngineV1\.azure\config","4/30/2026 1:21:34 PM","4/30/2026 1:21:34 PM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts\Deployable PS1","YES","FOLDER","1","0","C:\Users\mylab\OneDrive\Desktop\AI-OS-Projec_BACKUP_2_5_2026\scripts\Deployable PS1\deploy_readme.ps1","5/2/2026 10:33:31 AM","5/2/2026 10:33:31 AM","Stage19_DuplicateResolution","NEEDS_MORE_EVIDENCE","HOLD","BLOCK_EXECUTION","No direct repo match. Do not merge/archive/delete until manually reviewed."
"C:\Users\mylab\OneDrive\AI-OS-Project\backups","YES","FOLDER","1","0.01","C:\Users\mylab\OneDrive\AI-OS-Project\backups\TradingEngineV1.zip","5/2/2026 7:43:16 AM","5/2/2026 7:43:16 AM","Stage20_ArchiveCandidateReview","ARCHIVE_CANDIDATE_REVIEW","HOLD","BLOCK_UNTIL_ARCHIVE_APPROVAL","Archive/backup candidate. No action until manually approved."
